receptor,van_der_Waals,hydrogen_bonding,electrostatic,solvation,tors,exp_binding_affinity
10gs,-85.496,-35.1077,-0.0568538,130.348,13.5,6.4
184l,-39.3539,0,-2.84814e-05,2.5213,2,4.72
185l,-36.6419,-1.03159,-0.000150768,26.9351,0,3.54
186l,-41.6714,0,-3.22513e-05,2.02166,3,4.85
187l,-32.0378,0,-1.28502e-05,8.48047,0,3.37
188l,-31.2295,0,-7.1458e-05,7.76103,0,3.33
1a1e,-72.1155,-31.3194,-0.065639,105.935,14,6
1a28,-77.4043,-2.78183,-0.00289928,-3.48355,1,8.29
1a4k,-75.4616,-4.95521,-0.0127087,94.0899,6,8
1a4r,-84.6859,-31.9742,-0.0395089,179.726,7.5,6.66
1a4w,-97.8201,-27.3952,-0.0201264,151.866,13,5.92
1a69,-74.0314,-22.3833,-0.00313666,167.845,3.5,5.3
1a8i,-62.6986,-28.3097,0.00363834,152.827,3,5.52
1a94,-143.061,-52.637,-0.0119542,226.818,28.5,7.85
1a99,-37.8452,-19.7721,-0.090625,75.4464,4,5.7
1a9m,-118.955,-33.3909,0.00288357,164.187,19.5,6.92
1a9q,-39.623,-14.9881,-0.00588637,89.7808,0,6.17
1aaq,-103.856,-40.8102,-0.0131251,151.039,18.5,8.4
1add,-74.6798,-18.6319,-0.00106968,165.589,4,6.74
1adl,-58.746,-9.82392,-0.0267647,41.1821,14,5.36
1ado,-34.2113,-19.8105,-0.0286636,84.7277,4.5,6
1afk,-70.9307,-33.5942,-0.0934495,167.761,9,6.62
1afl,-75.5118,-28.7929,-0.053259,173.345,9,6.28
1ai4,-45.5838,-6.67178,-0.0172001,80.6737,3,2.5
1ai5,-47.3574,-7.05205,-0.0140635,72.9876,3,3.72
1ai7,-33.3144,-0.630345,0.000554007,31.1299,0.5,4.09
1aid,-56.4971,-0.0526444,-0.000641523,50.7716,6.5,4.82
1aj7,-69.1604,-12.5853,-0.0385769,101.219,8,3.87
1ajn,-46.5947,-1.98925,-0.0115287,73.2638,3,2.63
1ajp,-44.7394,-5.74226,-0.0124946,78.0373,3,2.23
1ajq,-40.2233,-7.46146,-0.0194955,47.3585,2,4.31
1ajv,-129.121,-24.9683,-0.013498,128.646,11,7.72
1ajx,-113.617,-24.2179,-0.0116823,125.968,11,7.91
1alw,-31.5969,-2.26866,-0.0156316,30.5926,3.5,6.52
1amk,-37.5002,-29.224,-0.0422999,91.6011,3,4.3
1amw,-64.7636,-14.8784,0.00188416,189.291,7.5,4.54
1apv,-96.3138,-43.6621,-0.0164134,139.853,15,9
1atl,-75.8359,-14.5204,0.0170525,81.4957,9.5,6.28
1atr,-100.8,-33.5588,0.00373623,243.898,7.5,6.96
1avn,-14.4152,-0.148276,0.00140955,50.3515,2.5,3.9
1ax0,-45.2728,-20.653,-0.00466052,79.0569,4,3.13
1azm,-43.5762,-6.11713,-0.000484159,83.6199,2.5,6.1
1b05,-101.789,-57.9379,-0.111616,218.751,16,7.12
1b0h,-137.418,-62.0685,-0.114739,237.648,16.5,6.7
1b1h,-123.546,-56.9079,-0.110246,225.347,17.5,7.03
1b2h,-109.038,-61.074,-0.140677,245.262,18,4.54
1b32,-108.939,-59.9972,-0.115165,217.367,17.5,7.1
1b38,-91.0552,-27.2389,-0.0467682,247.021,9.5,6.6
1b3f,-116.601,-61.9155,-0.115622,257.12,16.5,6.89
