receptor,gauss_1,gauss_2,repulsion,hydrophobic,hydrogen_bonding,tors,exp_binding_affinity
10gs,111.898,1374.51,5.25931,35.4061,7.03496,3.7,6.4
184l,45.893,721.11,0.552655,73.1545,0,1.4,4.72
185l,46.667,687.357,0.971711,51.4419,0,1,3.54
186l,47.7824,761.9,1.26441,74.0194,0,1.6,4.85
187l,28.0637,622.457,0.864669,55.7749,0,1,3.37
188l,31.1222,607.477,0.370271,53.3649,0,1,3.33
1a1e,83.0549,1184.08,5.34526,29.5745,8.27098,3.8,6
1a28,65.8933,1526.13,1.58133,51.5554,1.31917,1.2,8.29
1a4k,84.4441,1470.13,2.34048,41.9288,0.365974,2.2,8
1a4r,118.705,1290.97,5.88377,0,6.37001,2.5,6.66
1a4w,99.0798,1833.43,5.09981,44.2083,5.13789,3.6,5.92
1a69,96.6927,1201.35,4.23878,0,4.8123,1.7,5.3
1a8i,75.3172,1078.25,3.27113,0,7.7358,1.6,5.52
1a94,141.409,2738.49,7.04735,61.357,7.02644,6.7,7.85
1a99,54.583,456.239,2.56601,27.1777,3.03622,1.8,5.7
1a9m,111.664,2157.35,4.69915,42.9297,5.60699,4.9,6.92
1a9q,53.101,629.829,1.23432,0,2.27147,1,6.17
1aaq,106.068,1982.93,9.08323,47.2741,9.8579,4.7,8.4
1add,94.9795,1274.99,4.10372,4.40206,4.98844,1.8,6.74
1adl,47.2798,1216.89,1.07022,49.8354,2.12304,3.8,5.36
1ado,52.2936,541.947,2.19161,0,3.26467,1.9,6
1afk,98.5499,1193.97,6.68562,0,7.71683,2.8,6.62
1afl,104.189,1219.23,13.4635,0,6.60748,2.8,6.28
1ai4,51.2891,767.14,2.11983,28.0624,1.3252,1.6,2.5
1ai5,57.4769,833.527,2.23207,34.2044,1.46651,1.6,3.72
1ai7,48.02,507.137,1.06911,38.5756,0,1.1,4.09
1aid,46.0274,1230.51,0.602604,46.5698,0,2.3,4.82
1aj7,85.8938,1242.88,3.46227,22.1001,2.54148,2.6,3.87
1ajn,49.5433,842.243,2.01932,32.5899,1,1.6,2.63
1ajp,53.6159,770.445,2.06526,21.2198,1.44255,1.6,2.23
1ajq,59.6251,621.96,2.44769,19.7976,2.51401,1.4,4.31
1ajv,141.381,2269.52,5.33331,85.7294,6.20189,3.2,7.72
1ajx,120.044,2172.02,3.23365,74.3122,5.21527,3.2,7.91
1alw,29.0514,579.55,0.449021,29.9947,0,1.7,6.52
1amk,49.991,590.991,7.24418,0,6.17826,1.6,4.3
1amw,70.8271,1303.75,3.42872,0,2.45823,2.5,4.54
1apv,114.478,1668.79,4.98392,40.5681,9.16282,4,9
1atl,97.1314,1195.86,4.60194,12.1731,2.60921,2.9,6.28
1atr,134.122,1643.82,5.75173,0,8.53201,2.5,6.96
1avn,13.3911,302.281,1.36502,0,0,1.5,3.9
1ax0,50.3978,768.928,3.03025,3.42673,5.15141,1.8,3.13
1azm,55.3299,756.411,1.41712,5.90938,1.43185,1.5,6.1
1b05,124.009,1600.44,7.71543,15.2382,10.4507,4.2,7.12
1b0h,165.589,2210.04,9.37017,66.7659,11.7733,4.3,6.7
1b1h,157.314,1991.48,7.60757,49.5291,10.5728,4.5,7.03
1b2h,131.995,1767.85,6.2234,24.3287,11.6643,4.6,4.54
1b32,138.497,1747.36,7.27233,20.8687,11.1834,4.5,7.1
1b38,100.7,1818.14,6.81715,0,7.36614,2.9,6.6
1b3f,139.009,1894.87,8.55699,20.5417,12.1472,4.3,6.89
1b3g,127.459,1727.11,7.34,33.8513,11.042,4.3,6.7
1b3h,137.379,1942,6.9893,40.4583,9.94082,4.3,6.21
1b3l,107.038,1418.96,6.47846,14.866,10.772,3.9,5.89
1b40,148.53,1983.67,7.3724,47.841,10.4082,4.3,7.28
1b46,122.601,1687.36,6.29477,26.3982,10.5252,3.7,5.28
1b4h,125.367,1676.46,7.81255,19.9102,11.1766,4.4,5.46
1b4z,131.666,1755.32,7.14732,21.4281,11.6181,4.3,5.23
1b51,117.789,1589.91,6.05577,14.3039,10.3541,4.2,7.37
1b52,122.285,1630.16,6.41367,18.7041,10.8079,4.2,7.12
1b55,107.927,1319.17,10.1843,0,12.1294,2.8,7.4
1b57,83.7319,713.817,9.21201,0,11.3064,1.7,8
1b58,149.222,1980.91,6.86808,41.3692,11.1702,4.4,6.59
1b5h,121.193,1603.16,7.17956,15.4202,10.5451,4.2,6.01
1b5i,127.826,1736.19,6.57508,20.8765,10.4382,4.3,7.05
1b5j,138.775,1818.35,7.03988,27.3326,11.852,4.5,7.43
1b6h,128.207,1678.25,7.11627,30.2669,10.9333,4.3,7.82
1b6j,130.399,2484.06,4.65777,48.0813,8.17957,3.7,7.92
1b6k,114.271,2417.77,4.59217,66.9409,6.44534,3.6,8.74
1b6l,104.932,2069.27,4.33227,47.3469,6.29833,2.5,8.3
1b7h,131.939,1760.42,7.41034,34.4988,10.5699,4.5,8.02
1b8n,104.413,1356.33,4.17125,2.64462,6.54418,1.8,10.52
1b8o,93.278,1279.7,3.36583,2.07457,5.84665,1.7,10.64
1b8y,115.861,1635.52,2.96525,46.8743,2.48734,2.2,7.85
1b9j,126.429,1739.92,6.90127,30.943,11.3821,4.3,5.96
1bai,121.459,2748.02,7.0003,52.0178,5.93896,6.7,7.7
1bcd,36.1195,541.52,1.38117,15.7993,2.07778,1.3,8.7
1bdq,118.869,2043.52,3.61109,76.1059,4.34404,3.9,6.34
1bgq,66.3917,1308.22,3.16294,24.1985,1.83143,1.2,8.57
1bhf,109.114,1402.39,3.9568,42.0529,5.88337,5,4.38
1bhx,106.778,1531.84,2.84292,39.9349,4.35088,2.8,6.84
1bju,88.4462,1025.1,2.65804,13.2634,4.23504,1.7,4.8
1bjv,87.0682,1183.27,3.34564,11.1049,4.57072,2.1,5.54
1bm7,58.1699,1167.02,3.05133,58.7071,0.945148,1.8,7.52
1bma,117.564,1613.57,5.38772,48.5889,2.77516,3.4,4.59
1bn1,57.392,947.536,4.2307,30.6062,3.66481,2.1,9.34
1bn3,61.8512,1037.21,4.11651,23.7744,4.2937,1.5,9.89
1bn4,58.2714,983.665,4.50041,27.3144,3.83783,2.3,9.31
1bnn,62.787,1052.45,3.91206,22.0308,3.73948,1.5,10
1bnq,62.6751,1089.52,2.28102,10.4812,2.73153,2.3,9.49
1bnt,56.344,1095.79,2.53972,23.4456,3.70411,1.6,9.8
1bnu,58.4821,1072.67,2.32446,9.19717,3.73984,1.8,9.7
1bnv,62.1192,1127.88,4.13637,12.0663,4.31606,1.7,8.77
1bnw,54.9609,878.628,2.37321,10.183,2.45945,2.1,9.08
1bp0,69.3967,1038.92,5.18351,0.673683,9.03416,1.9,5.4
1bq4,55.4879,1034.28,4.63121,0.0349381,6.01323,2.2,5.22
1br6,106.755,1297.78,4.9542,12.9078,4.63941,2,3.22
1bty,58.951,621.579,2.74753,3.6704,3.90539,1.3,4.74
1bv7,184.25,2650.35,5.23279,104.27,6.19517,3.6,10.3
1bv9,175.336,2677.61,6.40579,90.9925,7.57402,3.6,9.96
1bwa,162.412,2687.24,6.02465,78.0005,8.5376,3.6,8.6
1bwb,177.088,2897.79,7.98597,89.3215,9.26866,3.6,8.42
1bxo,146.563,2051.69,4.93095,65.464,5.59333,3,10
1bxq,142.042,2033.98,5.41418,65.5144,5.76893,4.8,7.38
1bxr,154.182,2047.67,11.9632,0,10.4175,2.9,3.4
1bzj,103.953,1142.37,7.13954,81.5764,6.43663,1.6,4.66
1bzy,137.6,1547.1,10.4285,6.80513,13.9497,2,8.34
1c1r,75.9769,1117.28,2.00741,4.45496,3.85065,1.7,7.63
1c1u,75.1009,1199.74,2.32872,8.85872,3.00854,1.7,8.25
1c1v,79.0031,1287.75,3.58237,9.66087,3.91823,2.1,7.64
1c3e,124.746,1726.19,8.18848,42.1914,7.0053,3.1,6.59
1c3x,72.3348,732.059,4.09635,1.01992,2.41908,1,3.68
1c4u,120.137,1721.15,7.29344,47.455,5.24028,2.5,10.37
1c5c,90.747,1267.66,5.44919,43.1441,6.53014,1.6,6.96
1c5n,52.1992,771.115,2.36378,2.62305,2.518,1.3,4.7
1c5o,45.4817,589.788,1.98005,5.49548,3.1496,1.3,3.49
1c5p,56.2662,607.501,2.23912,3.63574,3.99242,1.3,4.68
1c5q,66.6662,766.578,1.86815,4.18169,3.50998,1.3,6.36
1c5s,69.4854,730.516,3.01287,6.92387,4.69866,1.3,6
1c5t,57.8706,747.985,2.3343,4.75899,4.39875,1.3,4.1
1c5x,78.5934,799.305,3.60091,7.03492,4.27905,1.3,6.68
1c5y,71.3965,776.231,3.1125,4.86158,4.47392,1.3,4.2
1c70,150.89,2394.69,4.22326,84.7183,4.97728,3.6,10.3
1c83,103.513,1029.38,6.12682,39.5538,6.29474,1.6,4.85
1c84,95.3964,1059.07,5.76577,58.387,4.63368,1.6,5
1c86,93.1405,1002.93,7.78188,21.1742,8.14753,1.9,4.7
1c87,88.4574,1001.55,7.95993,21.6949,7.65129,1.6,4.2
1c88,104.93,1025.7,7.88973,24.1235,8.1445,1.6,5.29
1cbx,66.1264,1031.96,5.07993,29.3628,5.36697,2,6.35
1ceb,51.1939,555.5,4.49023,34.8042,4.73461,1.5,6
1cet,54.5711,748.843,1.01962,41.1716,0.390424,2.6,2.89
1cgl,119.414,1719.99,4.49461,27.1971,7.36593,4.8,6.87
1ch8,151.269,1771.01,7.95133,0,9.6519,2.3,7
1ciz,139.891,2019.43,4.27312,63.447,1.68416,2.6,7.44
1cnw,63.2778,1087.5,2.93685,21.518,1.7604,3.6,7.72
1cnx,64.1695,1030.81,1.37327,22.0548,1.9399,3.2,7.37
1cny,59.3235,1059.25,1.39496,21.4792,1.64105,4,7.85
1cps,56.8002,1025.21,4.6069,20.7075,3.93494,2.2,6.66
1ct8,127.003,1641.59,5.69449,62.4617,5.0545,3.5,6.52
1ctt,88.4135,1293.06,4.146,7.58078,5.77207,1.7,4.52
1ctu,96.5444,1367.33,7.52569,6.13237,8.38039,1.8,11.92
1d09,94.8086,1150.99,9.78486,2.8746,17.2414,2.2,7.57
1d2e,144.456,1360.14,9.53474,0,13.8347,2.5,6
1d3d,121.46,1737.24,2.73147,67.0056,1,2.9,9.09
1d3p,123.5,1721.46,1.54137,57.8443,0.926121,3.3,7.39
1d4h,148.181,2477.26,5.18626,98.9848,7.29992,3.9,10
1d4i,158.053,2555.53,4.34144,103.107,6.52085,3.9,8.85
1d4j,149.341,2537.72,4.2892,93.9423,6.34478,4.1,8.36
1d4k,120.767,2460.17,6.14184,82.2347,6.53978,3.4,9.22
1d4l,106.734,2184.37,5.21831,62.4016,6.03376,3,8.77
1d4p,97.4798,1444.51,2.17762,46.4455,3.35346,1.9,6.3
1d4y,114.234,2127.07,3.88118,70.4792,5.07332,3.2,11.1
1d6v,109.045,1561,3.82818,103.843,0.928719,2.5,6.17
1d6w,120.341,1840.74,9.00745,47.9922,3.53062,2.7,5.96
1d7i,31.7843,304.436,1.76977,0,0.920352,1.4,3.6
1d7j,28.4234,323.884,0.773314,20.3397,0.792638,1.5,3.3
1d9i,105.114,1532.42,7.73213,39.5692,2.61749,2.5,9.11
1dar,117.563,1153.27,9.44269,0,9.60355,2.5,4.96
1det,70.736,791.16,3.90614,0,5.34665,2.1,4.3
