receptor,van_der_Waals,hydrogen_bonding,hydrophobic_contact,tors,exp_binding_affinity
10gs,-538.403,0.183983,49.9787,11.5,6.4
184l,-269.466,0,92.3925,2,4.72
185l,-251.818,0,64.6782,0,3.54
186l,-283.265,0,95.6419,3,4.85
187l,-219.764,0,74.2183,0,3.37
188l,-215.804,0,69.5476,0,3.33
1a1e,-452.643,0.338059,38.5965,12,6
1a28,-525.932,0,76.3594,1,8.29
1a4k,-521.076,0,53.3919,6,8
1a4r,-522.689,0,0,7.5,6.66
1a4w,-647.077,0,56.2564,12,5.92
1a69,-457.55,0,0,3.5,5.3
1a8i,-396.588,0,0,3,5.52
1a94,-952.819,1.00802,83.9079,23.5,7.85
1a99,-213.367,0.754211,33.5283,4,5.7
1a9m,-777.914,0,58.9964,15.5,6.92
1a9q,-254.069,0,0,0,6.17
1aaq,-678.84,0,62.5152,15.5,8.4
1add,-479.49,0.895165,6.25861,4,6.74
1adl,-400.848,0,72.6007,14,5.36
1ado,-218.522,0.269433,0,4.5,6
1afk,-445.089,0.256222,0,9,6.62
1afl,-437.049,1.07984,0,9,6.28
1ai4,-290.085,0.949995,34.938,3,2.5
1ai5,-314.51,0.953596,43.5143,3,3.72
1ai7,-213.27,0,46.9331,0.5,4.09
1aid,-391.731,0,65.4681,6.5,4.82
1aj7,-460.958,0,27.5869,8,3.87
1ajn,-308.717,1,41.7166,3,2.63
1ajp,-289.012,0.950687,28.8561,3,2.23
1ajq,-255.604,0.587607,24.6978,2,4.31
1ajv,-849.68,0,111.546,11,7.72
1ajx,-769.261,0.0689429,101.743,11,7.91
1alw,-212.004,0,42.0585,3.5,6.52
1amk,-203.741,0,0,3,4.3
1amw,-437.86,0,0,7.5,4.54
1apv,-623.203,0.250274,56.083,12,9
1atl,-481.661,0,21.2878,7.5,6.28
1atr,-640.663,0,0,7.5,6.96
1avn,-87.9962,0,0.220995,2.5,3.9
1ax0,-282.757,0,4.69171,4,3.13
1azm,-278.793,0,7.79154,2.5,6.1
1b05,-618.136,0.220381,21.261,14,7.12
1b0h,-849.514,0,87.4532,14.5,6.7
1b1h,-771.775,0,65.4437,15.5,7.03
1b2h,-672.283,0.210148,32.2596,16,4.54
1b32,-669.087,0.335169,28.6795,15.5,7.1
1b38,-602.317,0,0,9.5,6.6
1b3f,-719.507,0,28.4386,14.5,6.89
1b3g,-661.001,0.265094,45.2363,14.5,6.7
1b3h,-731.118,0,56.3646,14.5,6.21
1b3l,-551.794,0,20.87,13.5,5.89
1b40,-751.66,0,62.5808,14.5,7.28
1b46,-644.592,0,35.6736,12.5,5.28
1b4h,-634.253,0,27.5271,15,5.46
1b4z,-662.199,0,29.2172,14.5,5.23
1b51,-609.714,0,20.4972,14,7.37
1b52,-626.757,0,26.1544,14,7.12
1b55,-463.101,0.329442,0,9,7.4
1b57,-293.933,1,0,3.5,8
1b58,-751.542,0,54.928,15,6.59
1b5h,-616.445,0,21.5484,14,6.01
1b5i,-656.626,0.648317,28.292,14.5,7.05
1b5j,-689.069,0.0889691,35.613,15.5,7.43
1b6h,-643.817,0,41.1432,14.5,7.82
1b6j,-874.731,0,66.4529,11.5,7.92
1b6k,-821.323,0,89.5456,11,8.74
1b6l,-716.332,0,63.4298,7.5,8.3
1b7h,-673.181,0,46.9516,15.5,8.02
1b8n,-494.499,0,4.04392,4,10.52
1b8o,-467.868,0,3.67964,3.5,10.64
1b8y,-646.875,0.98773,64.7771,6,7.85
1b9j,-657.283,0,43.2393,14.5,5.96
1bai,-921.757,0.735744,71.4314,23.5,7.7
1bcd,-195.234,0,21.3478,1.5,8.7
1bdq,-741.541,0,96.5943,11.5,6.34
1bgq,-439.458,0,32.1136,1,8.57
1bhf,-539.987,0.194474,50.6915,16,4.38
1bhx,-600.108,0,53.3002,9,6.84
1bju,-425.85,0,17.6121,3.5,4.8
1bjv,-465.981,0,14.8705,5.5,5.54
1bm7,-399.532,0.512618,73.8943,4,7.52
1bma,-650.556,0,66.3615,10,4.59
1bn1,-346.535,0,39.8575,5.5,9.34
1bn3,-375.122,0,28.3247,2.5,9.89
1bn4,-355.869,0,33.9433,6.5,9.31
1bnn,-377.484,0,27.4644,2.5,10
1bnq,-391.487,0,12.0151,6.5,9.49
1bnt,-382.612,0,27.4517,3,9.8
1bnu,-379.346,0,11.9267,4,9.7
1bnv,-395.835,0,17.2936,3.5,8.77
1bnw,-329.46,0,12.5569,5.5,9.08
1bp0,-367.601,0,1.29328,4.5,5.4
1bq4,-322.244,0,0.356625,6,5.22
1br6,-492.246,0,17.6217,5,3.22
1bty,-273.365,0,7.13264,1.5,4.74
